ID;number_of_messages;mean_time
8;39;2674.29
202;36;2809.89
309;3;1220.5
0A0;3;51609
25;48;2163.4
247;1;86836
182;33;2975.84
207;9;11624
227;9;11585.1
325;9;11669.6
345;4;24528.3
305;9;11652.4
181;33;2974.81
4;36;2835.6
46;5;24274.8
204;5;24144.2
201;36;2811
224;36;2803.4
121;1;8425
461;1;41303
421;1;8841
128;4;24480.7
348;1;41842
3C8;1;41158
388;4;24678.7
308;4;24370
3A8;4;24614.3
368;4;24586.7
328;4;24634.7
307;1;87356
109;4;24327.7
430;2;50673
32A;1;22538
30A;1;22877
5;3;3403.5
108;1;41926
7;1;87119
441;1;87906
